Category,Item,MPN,Supplier,Qty,Unit,Notes
MCU,STM32G031 ARM Cortex-M0+ 32MHz TSSOP20,STM32G031K8T6,ST,1,1.80,Local processing FFT and bus communication
Sensor,Wide-band MEMS microphone,SPU0410LR5H,Knowles,1,1.20,Audible + ultrasonic up to 80kHz
Amplifier,Low-noise microphone preamp,MAX9814ETD,Maxim Integrated,1,2.80,Automatic gain control for wide dynamic range
Communication,RS-485 transceiver half-duplex,SN65HVD72,Texas Instruments,1,0.85,Bus interface for digital communication
Power,Buck converter 12V to 3.3V 500mA,TPS62172DSGT,Texas Instruments,1,1.45,Efficient power from bus
Power,LDO 3.3V clean for analog,MCP1700T-3302E,Microchip,1,0.12,Clean power for sensitive analog
Connector,4-pin screw terminal block 5.08mm,691137710004,Wurth,1,0.18,Bus connection (12V GND Data+ Data-)
Connector,Cable gland PG9 for 4-conductor cable,PG9-GLAND,Wiska,1,1.50,Strain relief and environmental sealing
Protection,ESD protection diode array 4-ch,ESD9X3.3ST5G,OnSemi,1,0.08,Bus and power line protection
Clock,8MHz crystal for MCU,ABM8G-8.000MHZ,ABRACON,1,0.12,MCU external clock source
Addressing,4-position DIP switch,219-4MS,CTS,1,0.10,Module address configuration
Status,Status LED green 0603,LTST-C190KGKT,Lite-On,1,0.01,Operational status indication
Passives,Resistors and capacitors 0603 assorted,R0603 assortment,Generic,1,0.25,Bus termination bias network filter caps
Mechanical,Industrial magnetic mount base,MM-BASE-20,Generic,1,2.50,Flexible positioning on metal surfaces
PCB,2-layer PCB FR4 1.6mm 40x30mm,PCB-2L-MEDIUM,Various,1,0.80,Acoustic sensor module with DSP
Enclosure,Custom enclosure (IP54 with acoustic port),CUSTOM,Custom,1,4.80,Custom enclosure; equivalent spec to AS-ENC-01
