Category,Item,MPN,Supplier,Qty,Unit,Notes,Package
MCU,STM32G031 ARM Cortex-M0+ 32MHz TSSOP20,STM32G031K8T6,ST,1,1.80,Local light intensity processing and bus communication,SMD
Sensor,Visible Light Sensor TSL2591,TSL2591,Adafruit/AMS,1,4.20,High dynamic range visible light sensor (0.002-32k lux),SMD
Sensor,UV Light Sensor VEML6075,VEML6075,Vishay,1,3.80,UVA/UVB light sensor for UV exposure monitoring,SMD
Sensor,IR Light Sensor MLX90614,MLX90614,Melexis,1,8.90,Infrared temperature sensor for non-contact measurement,SMD
Sensor,Color Light Sensor TCS34725,TCS34725,Adafruit/AMS,1,5.50,RGB color light sensor with IR blocking filter,SMD
Sensor,Spectral Light Sensor AS7341,AS7341,AMS,1,12.90,10-channel spectral sensor (380-1000nm),SMD
Communication,RS-485 transceiver half-duplex,SN65HVD72,Texas Instruments,1,0.85,Bus interface for digital communication,SMD
Power,Buck converter 12V to 3.3V 500mA,TPS62172DSGT,Texas Instruments,1,1.45,Efficient power from bus,SMD
Power,LDO 3.3V clean for analog,MCP1700T-3302E,Microchip,1,0.12,Clean 3.3V for light sensors,SMD
Connector,4-pin screw terminal block 5.08mm,691137710004,Wurth,1,0.18,Bus connection (12V GND Data+ Data-),THT
Connector,Cable gland PG9 for 4-conductor cable,PG9-GLAND,Wiska,1,1.50,Strain relief and environmental sealing,THT
Protection,ESD protection diode array 4-ch,ESD9X3.3ST5G,OnSemi,1,0.08,Bus and power line protection,SMD
Clock,8MHz crystal for MCU,ABM8G-8.000MHZ,ABRACON,1,0.12,MCU external clock source,SMD
Addressing,4-position SMD DIP switch,DSHP04TS-S,XKB,1,0.12,Module address configuration (SMD DIP),SMD
Status,Status LED green 0603,LTST-C190KGKT,Lite-On,1,0.01,Operational status indication,SMD
Passives,Resistors and capacitors 0603 assorted,R0603 assortment,Generic,1,0.25,Bus termination filter and bias network,SMD
Mechanical,Light diffuser lens assembly,LIGHT-DIFFUSER,Generic,1,3.50,Optical diffuser for uniform light measurement,Mechanical
Mechanical,Sensor mounting bracket,LIGHT-BRACKET,Generic,1,2.20,Adjustable mounting for optimal light sensing,Mechanical
PCB,2-layer PCB FR4 1.55mm 45x35mm,PCB-2L-SMALL,Various,1,0.90,Light sensor module with optical components,PCB
Enclosure,Custom enclosure (IP65 with light ports),CUSTOM,Custom,1,7.20,Custom enclosure; equivalent spec to LIGHT-ENC-01,Mechanical
Programming,Tag-Connect SWD footprint (TC2050 or TC2030),TC2050/TC2030,Tag-Connect,0,0.00,DNP; ensure footprint on PCB for SWD,SMD
