Category,Item,MPN,Supplier,Qty,Unit,Notes,Package
MCU,STM32G031 ARM Cortex-M0+ 32MHz TSSOP20,STM32G031K8T6,ST,1,1.80,Local air quality processing and bus communication,SMD
Sensor,Air Quality Sensor BME680,BME680,Bosch Sensortec,1,8.50,Temperature, humidity, pressure, VOC, IAQ index,SMD
Sensor,Particulate Matter Sensor PMS5003,PMS5003,Plantower,1,12.80,PM2.5, PM10, particle count and size distribution,SMD
Sensor,CO2 Sensor SCD40,SCD40,Sensirion,1,15.60,NDIR CO2 sensor with automatic self-calibration,SMD
Communication,RS-485 transceiver half-duplex,SN65HVD72D,Texas Instruments,1,0.85,Bus interface for digital communication,SMD
Power,Buck converter 12V to 5V 1A,TPS62173DSGT,Texas Instruments,1,1.65,Power for particulate sensor (needs 5V),SMD
Power,LDO 5V to 3.3V 500mA,MCP1700T-3302E/TT,Microchip,1,0.12,Clean 3.3V for MCU and air quality sensors,SMD
Connector,RS-485 IN pluggable PCB mate 4-pin 5.00mm,2EDGR-5.0-04P,Degson,1,0.18,IN: A/B/24V/GND; mates with 2EDGK-5.0-04P; loop-through,THT
Connector,RS-485 IN pluggable plug 4-pin 5.00mm,2EDGK-5.0-04P,Degson,1,0.18,Field-side plug for IN; A/B/24V/GND,Accessory
Connector,RS-485 OUT pluggable PCB mate 4-pin 5.00mm,2EDGR-5.0-04P,Degson,1,0.18,OUT: A/B/24V/GND; mates with 2EDGK-5.0-04P; loop-through,THT
Connector,RS-485 OUT pluggable plug 4-pin 5.00mm,2EDGK-5.0-04P,Degson,1,0.18,Field-side plug for OUT; A/B/24V/GND,Accessory
Connector,Cable gland PG9 for 4-conductor cable,PG9-GLAND,Wiska,1,1.50,Strain relief and environmental sealing,THT
Protection,ESD protection diode array 4-ch,SP0503BAHTG,Littelfuse,1,0.08,Bus and power line protection,SMD
Fieldbus,Termination resistor 120 ohm 0805,R0805-120R,Generic,1,0.01,RS-485 line termination switched by DIP 8,SMD
Clock,8MHz crystal for MCU,ABMM2-8.000MHZ-E2-T,ABRACON,1,0.12,MCU external clock source,SMD
Addressing,8-position SMD DIP switch,DSHP08TS-S,XKB,1,0.22,1-7=Modbus addr; 8=120Ω termination enable; silkscreen: 1-7=ADDR,8=TERM,ON/OFF,SMD
Status,Status LED green 0603,LTST-C190KGKT,Lite-On,1,0.01,Operational status indication,SMD
Passives,Resistors and capacitors 0603 assorted,R0603 assortment,Generic,1,0.30,Bus termination, filter, and bias network,SMD
Mechanical,Air intake filter mesh 1mm,SS-MESH-1MM,Generic,1,0.50,Protection for particulate sensor,Mechanical
Mechanical,Silicone adhesive for sensors,RTV-108,Dow Corning,0.1,0.05,Sensor mounting and sealing,Mechanical
PCB,4-layer PCB FR4 1.55mm 60x40mm,PCB-4L-MEDIUM,Various,1,1.20,Air quality sensor module with multiple sensors,PCB
Enclosure,Custom enclosure (IP54 with air vents),CUSTOM,Custom,1,6.80,Custom enclosure; equivalent spec to AQ-ENC-01,Mechanical
Programming,Tag-Connect SWD footprint (TC2050 or TC2030),TC2050/TC2030,Tag-Connect,0,0.00,DNP; ensure footprint on PCB for SWD,SMD
